2026-01-20 21:43:50 - INFO - [CHK_1B] ======================================================================
2026-01-20 21:43:50 - INFO - [CHK_1B] CHK_1B - Date Validity
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 600: Date mismatch for fund 1188069 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 601: Date mismatch for fund 1188069 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 602: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 603: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 604: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 605: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 606: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 607: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 608: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 609: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 610: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 611: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 612: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 613: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 614: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 615: Date mismatch for fund 1189810 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 616: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 617: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 618: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 619: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 620: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 621: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 622: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 623: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 624: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 625: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 626: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 627: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 628: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 629: Date mismatch for fund 1189828 - expected 2025-12, got 2025-11-27
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 644: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 645: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 646: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 647: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 648: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 649: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 650: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 651: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 652: Date mismatch for fund 1193044 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 653: Date mismatch for fund 1193051 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 654: Date mismatch for fund 1193051 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 655: Date mismatch for fund 1193051 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 656: Date mismatch for fund 1193051 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 657: Date mismatch for fund 1193051 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 658: Date mismatch for fund 1193051 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 659: Date mismatch for fund 1193051 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 660: Date mismatch for fund 1193051 - expected 2025-12, got 2025-11-30
